segment_index,second,n_frames,n_people_avg,n_detections,dominant_activity,dominant_activity_pct,activity_counts,dominant_face,dominant_face_count,ms_detector,ms_bytetrack,ms_pose,ms_body110_har,ms_face_liveness,ms_total,fps_avg
1,1,3,1.0,3,collecting,100.0,collecting:3,ridho,3,210.14,0.45,100.14,,771.65,626.39,1.6
1,2,19,1.0,19,collecting,84.21,collecting:16;walking:3,ridho,19,19.65,0.49,20.27,21.31,21.83,47.95,20.86
1,3,20,1.0,20,walking,100.0,walking:20,ridho,20,18.72,0.51,19.88,3.18,21.02,45.79,21.84
1,4,19,1.0,19,walking,100.0,walking:19,ridho,19,19.65,0.43,21.0,4.12,20.05,48.25,20.73
1,5,19,1.0,19,walking,100.0,walking:19,ridho,19,19.3,0.46,20.15,3.65,27.25,47.02,21.27
1,6,19,1.0,19,walking,100.0,walking:19,ridho,19,18.83,0.54,20.61,3.9,24.64,47.87,20.89
1,7,19,1.0,19,walking,100.0,walking:19,ridho,19,18.87,0.46,19.41,3.15,21.84,45.93,21.77
1,8,17,1.0,17,walking,100.0,walking:17,ridho,17,22.32,0.54,21.95,3.93,26.62,52.49,19.05
1,9,19,1.0,19,walking,100.0,walking:19,ridho,19,20.61,0.49,21.74,3.51,22.53,50.4,19.84
1,10,18,1.0,18,walking,100.0,walking:18,ridho,18,19.72,0.49,21.14,3.3,25.05,49.92,20.03
